,code_municipality_7,cluster,cluster_label
1353,2509008,0,Semi-urbanized
1354,2509057,4,Rural with low human development
1355,2509107,0,Semi-urbanized
1356,2509156,0,Semi-urbanized
1357,2509206,0,Semi-urbanized
1358,2509305,0,Semi-urbanized
1359,2509339,0,Semi-urbanized
1360,2509370,0,Semi-urbanized
1361,2509396,0,Semi-urbanized
1362,2509404,0,Semi-urbanized
1363,2509503,0,Semi-urbanized
1364,2509602,0,Semi-urbanized
1365,2509701,0,Semi-urbanized
1366,2509800,0,Semi-urbanized
1367,2509909,0,Semi-urbanized
1368,2510006,0,Semi-urbanized
1369,2510105,0,Semi-urbanized
1370,2510204,0,Semi-urbanized
1371,2510303,0,Semi-urbanized
1372,2510402,0,Semi-urbanized
1373,2510501,0,Semi-urbanized
1374,2510600,0,Semi-urbanized
1375,2510659,0,Semi-urbanized
1376,2510709,0,Semi-urbanized
1377,2510808,3,Urbanized with informal settlements
1378,2510907,0,Semi-urbanized
1379,2511004,0,Semi-urbanized
1380,2511103,0,Semi-urbanized
1381,2511202,0,Semi-urbanized
1382,2511301,0,Semi-urbanized
1383,2511400,0,Semi-urbanized
1384,2511509,0,Semi-urbanized
1385,2511608,0,Semi-urbanized
1386,2511707,0,Semi-urbanized
1387,2511806,0,Semi-urbanized
1388,2511905,0,Semi-urbanized
1389,2512002,0,Semi-urbanized
1390,2512036,0,Semi-urbanized
1391,2512077,0,Semi-urbanized
1392,2512101,0,Semi-urbanized
1393,2512200,0,Semi-urbanized
1394,2512309,0,Semi-urbanized
1395,2512408,0,Semi-urbanized
1396,2512507,0,Semi-urbanized
1397,2512606,0,Semi-urbanized
1398,2512705,0,Semi-urbanized
1399,2512721,0,Semi-urbanized
1400,2512747,0,Semi-urbanized
1401,2512754,0,Semi-urbanized
1402,2512762,0,Semi-urbanized
1403,2512788,0,Semi-urbanized
1404,2512804,0,Semi-urbanized
1405,2512903,0,Semi-urbanized
1406,2513000,0,Semi-urbanized
1407,2513109,0,Semi-urbanized
1408,2513158,0,Semi-urbanized
1409,2513208,0,Semi-urbanized
1410,2513307,0,Semi-urbanized
1411,2513356,0,Semi-urbanized
1412,2513406,0,Semi-urbanized
1413,2513505,0,Semi-urbanized
1414,2513604,0,Semi-urbanized
1415,2513653,0,Semi-urbanized
1416,2513703,3,Urbanized with informal settlements
1417,2513802,0,Semi-urbanized
1418,2513851,0,Semi-urbanized
1419,2513901,0,Semi-urbanized
1420,2513927,0,Semi-urbanized
1421,2513943,0,Semi-urbanized
1422,2513968,0,Semi-urbanized
1423,2513984,0,Semi-urbanized
1424,2514008,0,Semi-urbanized
1425,2514107,0,Semi-urbanized
1426,2514206,0,Semi-urbanized
1427,2514305,0,Semi-urbanized
1428,2514404,0,Semi-urbanized
1429,2514453,0,Semi-urbanized
1430,2514503,0,Semi-urbanized
1431,2514552,0,Semi-urbanized
1432,2514602,0,Semi-urbanized
1433,2514651,0,Semi-urbanized
1434,2514701,0,Semi-urbanized
1435,2514800,0,Semi-urbanized
1436,2514909,0,Semi-urbanized
1437,2515005,0,Semi-urbanized
1438,2515104,0,Semi-urbanized
1439,2515203,0,Semi-urbanized
1440,2515302,0,Semi-urbanized
1441,2515401,0,Semi-urbanized
1442,2515500,0,Semi-urbanized
1443,2515609,0,Semi-urbanized
1444,2515708,0,Semi-urbanized
1445,2515807,0,Semi-urbanized
1446,2515906,0,Semi-urbanized
1447,2515930,0,Semi-urbanized
1448,2515971,0,Semi-urbanized
1449,2516003,0,Semi-urbanized
1450,2516102,0,Semi-urbanized
1451,2516151,0,Semi-urbanized
1452,2516201,0,Semi-urbanized
1453,2516300,0,Semi-urbanized
1454,2516409,0,Semi-urbanized
1455,2516508,0,Semi-urbanized
1456,2516607,0,Semi-urbanized
1457,2516706,0,Semi-urbanized
1458,2516755,0,Semi-urbanized
1459,2516805,0,Semi-urbanized
1460,2516904,0,Semi-urbanized
1461,2517001,0,Semi-urbanized
1462,2517100,2,Rural with high human development
1463,2517209,0,Semi-urbanized
1464,2517407,0,Semi-urbanized
1465,2600054,3,Urbanized with informal settlements
1466,2600104,0,Semi-urbanized
1467,2600203,0,Semi-urbanized
1468,2600302,0,Semi-urbanized
1469,2600401,0,Semi-urbanized
1470,2600500,4,Rural with low human development
1471,2600609,0,Semi-urbanized
1472,2600708,0,Semi-urbanized
1473,2600807,0,Semi-urbanized
1474,2600906,0,Semi-urbanized
1475,2601003,0,Semi-urbanized
1476,2601052,3,Urbanized with informal settlements
1477,2601102,0,Semi-urbanized
1478,2601201,3,Urbanized with informal settlements
1479,2601300,0,Semi-urbanized
1480,2601409,0,Semi-urbanized
1481,2601508,0,Semi-urbanized
1482,2601607,0,Semi-urbanized
1483,2601706,0,Semi-urbanized
1484,2601805,0,Semi-urbanized
1485,2601904,0,Semi-urbanized
1486,2602001,0,Semi-urbanized
1487,2602100,0,Semi-urbanized
1488,2602209,0,Semi-urbanized
1489,2602308,0,Semi-urbanized
1490,2602407,0,Semi-urbanized
1491,2602506,0,Semi-urbanized
1492,2602605,0,Semi-urbanized
1493,2602704,0,Semi-urbanized
1494,2602803,4,Rural with low human development
1495,2602902,3,Urbanized with informal settlements
1496,2603009,0,Semi-urbanized
1497,2603108,0,Semi-urbanized
1498,2603207,0,Semi-urbanized
1499,2603306,0,Semi-urbanized
1500,2603405,0,Semi-urbanized
1501,2603454,3,Urbanized with informal settlements
1502,2603504,0,Semi-urbanized
1503,2603603,0,Semi-urbanized
1504,2603702,0,Semi-urbanized
1505,2603801,0,Semi-urbanized
1506,2603900,0,Semi-urbanized
1507,2603926,4,Rural with low human development
1508,2604007,3,Urbanized with informal settlements
1509,2604106,3,Urbanized with informal settlements
1510,2604155,0,Semi-urbanized
1511,2604205,0,Semi-urbanized
1512,2604304,0,Semi-urbanized
1513,2604403,0,Semi-urbanized
1514,2604502,0,Semi-urbanized
1515,2604601,0,Semi-urbanized
1516,2604700,0,Semi-urbanized
1517,2604809,0,Semi-urbanized
1518,2604908,0,Semi-urbanized
1519,2605004,0,Semi-urbanized
1520,2605103,0,Semi-urbanized
1521,2605152,0,Semi-urbanized
1522,2605202,3,Urbanized with informal settlements
1523,2605301,0,Semi-urbanized
1524,2605400,0,Semi-urbanized
1525,2605459,1,Urbanized
1526,2605509,0,Semi-urbanized
1527,2605608,0,Semi-urbanized
1528,2605707,0,Semi-urbanized
1529,2605806,0,Semi-urbanized
1530,2605905,0,Semi-urbanized
1531,2606002,3,Urbanized with informal settlements
1532,2606101,0,Semi-urbanized
1533,2606200,3,Urbanized with informal settlements
1534,2606309,0,Semi-urbanized
1535,2606408,0,Semi-urbanized
1536,2606507,0,Semi-urbanized
1537,2606606,0,Semi-urbanized
1538,2606705,0,Semi-urbanized
1539,2606804,3,Urbanized with informal settlements
1540,2606903,0,Semi-urbanized
1541,2607000,4,Rural with low human development
1542,2607109,0,Semi-urbanized
1543,2607208,3,Urbanized with informal settlements
1544,2607307,0,Semi-urbanized
1545,2607406,0,Semi-urbanized
1546,2607505,0,Semi-urbanized
1547,2607604,3,Urbanized with informal settlements
1548,2607653,0,Semi-urbanized
1549,2607703,0,Semi-urbanized
1550,2607752,3,Urbanized with informal settlements
1551,2607802,0,Semi-urbanized
1552,2607901,3,Urbanized with informal settlements
1553,2607950,0,Semi-urbanized
1554,2608008,0,Semi-urbanized
1555,2608057,0,Semi-urbanized
1556,2608107,0,Semi-urbanized
1557,2608206,0,Semi-urbanized
1558,2608255,0,Semi-urbanized
1559,2608305,0,Semi-urbanized
1560,2608404,0,Semi-urbanized
1561,2608453,0,Semi-urbanized
1562,2608503,0,Semi-urbanized
1563,2608602,0,Semi-urbanized
1564,2608701,0,Semi-urbanized
1565,2608750,0,Semi-urbanized
1566,2608800,0,Semi-urbanized
1567,2608909,1,Urbanized
1568,2609006,0,Semi-urbanized
1569,2609105,0,Semi-urbanized
1570,2609154,4,Rural with low human development
1571,2609204,0,Semi-urbanized
1572,2609303,0,Semi-urbanized
1573,2609402,3,Urbanized with informal settlements
1574,2609501,3,Urbanized with informal settlements
1575,2609600,3,Urbanized with informal settlements
1576,2609709,0,Semi-urbanized
1577,2609808,0,Semi-urbanized
1578,2609907,0,Semi-urbanized
1579,2610004,3,Urbanized with informal settlements
1580,2610103,0,Semi-urbanized
1581,2610202,0,Semi-urbanized
1582,2610301,0,Semi-urbanized
1583,2610400,0,Semi-urbanized
1584,2610509,0,Semi-urbanized
1585,2610608,3,Urbanized with informal settlements
1586,2610707,3,Urbanized with informal settlements
1587,2610806,0,Semi-urbanized
1588,2610905,0,Semi-urbanized
1589,2611002,0,Semi-urbanized
1590,2611101,3,Urbanized with informal settlements
1591,2611200,0,Semi-urbanized
1592,2611309,0,Semi-urbanized
1593,2611408,0,Semi-urbanized
1594,2611507,0,Semi-urbanized
1595,2611533,0,Semi-urbanized
1596,2611606,3,Urbanized with informal settlements
1597,2611705,0,Semi-urbanized
1598,2611804,0,Semi-urbanized
1599,2611903,0,Semi-urbanized
1600,2612000,0,Semi-urbanized
1601,2612109,0,Semi-urbanized
1602,2612208,0,Semi-urbanized
1603,2612307,0,Semi-urbanized
1604,2612406,0,Semi-urbanized
1605,2612455,0,Semi-urbanized
1606,2612471,0,Semi-urbanized
1607,2612505,3,Urbanized with informal settlements
1608,2612554,0,Semi-urbanized
1609,2612604,0,Semi-urbanized
1610,2612703,0,Semi-urbanized
1611,2612802,0,Semi-urbanized
1612,2612901,0,Semi-urbanized
1613,2613008,0,Semi-urbanized
1614,2613107,0,Semi-urbanized
1615,2613206,0,Semi-urbanized
1616,2613305,0,Semi-urbanized
1617,2613404,0,Semi-urbanized
1618,2613503,0,Semi-urbanized
1619,2613602,0,Semi-urbanized
1620,2613701,3,Urbanized with informal settlements
1621,2613800,0,Semi-urbanized
1622,2613909,0,Semi-urbanized
1623,2614006,0,Semi-urbanized
1624,2614105,0,Semi-urbanized
1625,2614204,0,Semi-urbanized
1626,2614303,0,Semi-urbanized
1627,2614402,0,Semi-urbanized
1628,2614501,0,Semi-urbanized
1629,2614600,0,Semi-urbanized
1630,2614709,0,Semi-urbanized
1631,2614808,0,Semi-urbanized
1632,2614857,0,Semi-urbanized
1633,2615003,0,Semi-urbanized
1634,2615102,0,Semi-urbanized
1635,2615201,0,Semi-urbanized
1636,2615300,3,Urbanized with informal settlements
1637,2615409,3,Urbanized with informal settlements
1638,2615508,0,Semi-urbanized
1639,2615607,0,Semi-urbanized
1640,2615706,0,Semi-urbanized
1641,2615805,4,Rural with low human development
1642,2615904,0,Semi-urbanized
1643,2616001,0,Semi-urbanized
1644,2616100,0,Semi-urbanized
1645,2616183,0,Semi-urbanized
1646,2616209,0,Semi-urbanized
1647,2616308,0,Semi-urbanized
1648,2616407,3,Urbanized with informal settlements
1649,2616506,0,Semi-urbanized
1650,2700102,0,Semi-urbanized
1651,2700201,0,Semi-urbanized
1652,2700300,3,Urbanized with informal settlements
1653,2700409,0,Semi-urbanized
1654,2700508,3,Urbanized with informal settlements
1655,2700607,0,Semi-urbanized
1656,2700706,0,Semi-urbanized
1657,2700805,0,Semi-urbanized
1658,2700904,4,Rural with low human development
1659,2701001,0,Semi-urbanized
1660,2701100,0,Semi-urbanized
1661,2701209,0,Semi-urbanized
1662,2701308,0,Semi-urbanized
1663,2701357,0,Semi-urbanized
1664,2701407,3,Urbanized with informal settlements
1665,2701506,0,Semi-urbanized
1666,2701605,4,Rural with low human development
1667,2701704,0,Semi-urbanized
1668,2701803,4,Rural with low human development
1669,2701902,0,Semi-urbanized
1670,2702009,0,Semi-urbanized
1671,2702108,0,Semi-urbanized
1672,2702207,0,Semi-urbanized
1673,2702306,0,Semi-urbanized
1674,2702355,0,Semi-urbanized
1675,2702405,0,Semi-urbanized
1676,2702504,0,Semi-urbanized
1677,2702553,0,Semi-urbanized
1678,2702603,0,Semi-urbanized
1679,2702702,0,Semi-urbanized
1680,2702801,0,Semi-urbanized
1681,2702900,4,Rural with low human development
1682,2703007,0,Semi-urbanized
1683,2703106,0,Semi-urbanized
1684,2703205,0,Semi-urbanized
1685,2703304,4,Rural with low human development
1686,2703403,0,Semi-urbanized
1687,2703502,0,Semi-urbanized
1688,2703601,3,Urbanized with informal settlements
1689,2703700,0,Semi-urbanized
1690,2703759,0,Semi-urbanized
1691,2703809,4,Rural with low human development
1692,2703908,0,Semi-urbanized
1693,2704005,0,Semi-urbanized
1694,2704104,0,Semi-urbanized
1695,2704203,0,Semi-urbanized
1696,2704302,3,Urbanized with informal settlements
1697,2704401,0,Semi-urbanized
1698,2704500,3,Urbanized with informal settlements
1699,2704609,0,Semi-urbanized
1700,2704708,3,Urbanized with informal settlements
1701,2704807,0,Semi-urbanized
1702,2704906,0,Semi-urbanized
1703,2705002,4,Rural with low human development
1704,2705101,3,Urbanized with informal settlements
1705,2705200,3,Urbanized with informal settlements
1706,2705309,0,Semi-urbanized
1707,2705408,0,Semi-urbanized
1708,2705507,4,Rural with low human development
1709,2705606,0,Semi-urbanized
1710,2705705,0,Semi-urbanized
1711,2705804,0,Semi-urbanized
1712,2705903,4,Rural with low human development
1713,2706000,0,Semi-urbanized
1714,2706109,0,Semi-urbanized
1715,2706208,0,Semi-urbanized
1716,2706307,0,Semi-urbanized
1717,2706406,0,Semi-urbanized
1718,2706422,0,Semi-urbanized
1719,2706448,3,Urbanized with informal settlements
1720,2706505,0,Semi-urbanized
1721,2706604,0,Semi-urbanized
1722,2706703,0,Semi-urbanized
1723,2706802,0,Semi-urbanized
1724,2706901,3,Urbanized with informal settlements
1725,2707008,0,Semi-urbanized
1726,2707107,0,Semi-urbanized
1727,2707206,4,Rural with low human development
1728,2707305,0,Semi-urbanized
1729,2707404,0,Semi-urbanized
1730,2707503,0,Semi-urbanized
1731,2707602,0,Semi-urbanized
1732,2707701,3,Urbanized with informal settlements
1733,2707800,4,Rural with low human development
1734,2707909,3,Urbanized with informal settlements
1735,2708006,0,Semi-urbanized
1736,2708105,0,Semi-urbanized
1737,2708204,0,Semi-urbanized
1738,2708303,0,Semi-urbanized
1739,2708402,4,Rural with low human development
1740,2708501,3,Urbanized with informal settlements
1741,2708600,3,Urbanized with informal settlements
1742,2708709,0,Semi-urbanized
1743,2708808,0,Semi-urbanized
1744,2708907,3,Urbanized with informal settlements
1745,2708956,4,Rural with low human development
1746,2709004,0,Semi-urbanized
1747,2709103,0,Semi-urbanized
1748,2709152,0,Semi-urbanized
1749,2709202,4,Rural with low human development
1750,2709301,0,Semi-urbanized
1751,2709400,0,Semi-urbanized
1752,2800100,0,Semi-urbanized
1753,2800209,0,Semi-urbanized
1754,2800308,3,Urbanized with informal settlements
1755,2800407,0,Semi-urbanized
1756,2800506,0,Semi-urbanized
1757,2800605,3,Urbanized with informal settlements
1758,2800670,0,Semi-urbanized
1759,2800704,4,Rural with low human development
1760,2801009,0,Semi-urbanized
1761,2801108,0,Semi-urbanized
1762,2801207,0,Semi-urbanized
1763,2801306,0,Semi-urbanized
1764,2801405,0,Semi-urbanized
1765,2801504,3,Urbanized with informal settlements
1766,2801603,0,Semi-urbanized
1767,2801702,0,Semi-urbanized
1768,2801900,0,Semi-urbanized
1769,2802007,0,Semi-urbanized
1770,2802106,3,Urbanized with informal settlements
1771,2802205,0,Semi-urbanized
1772,2802304,0,Semi-urbanized
1773,2802403,0,Semi-urbanized
1774,2802502,0,Semi-urbanized
1775,2802601,0,Semi-urbanized
1776,2802700,0,Semi-urbanized
1777,2802809,0,Semi-urbanized
1778,2802908,1,Urbanized
1779,2803005,0,Semi-urbanized
1780,2803104,0,Semi-urbanized
1781,2803203,0,Semi-urbanized
1782,2803302,0,Semi-urbanized
1783,2803401,0,Semi-urbanized
1784,2803500,0,Semi-urbanized
1785,2803609,3,Urbanized with informal settlements
1786,2803708,0,Semi-urbanized
1787,2803807,0,Semi-urbanized
1788,2803906,0,Semi-urbanized
1789,2804003,0,Semi-urbanized
1790,2804102,0,Semi-urbanized
1791,2804201,0,Semi-urbanized
1792,2804300,0,Semi-urbanized
1793,2804409,0,Semi-urbanized
1794,2804458,0,Semi-urbanized
1795,2804508,0,Semi-urbanized
1796,2804607,0,Semi-urbanized
1797,2804706,0,Semi-urbanized
1798,2804805,3,Urbanized with informal settlements
1799,2804904,0,Semi-urbanized
1800,2805000,0,Semi-urbanized
1801,2805109,0,Semi-urbanized
1802,2805208,0,Semi-urbanized
1803,2805307,0,Semi-urbanized
1804,2805406,0,Semi-urbanized
1805,2805505,0,Semi-urbanized
1806,2805604,0,Semi-urbanized
1807,2805703,3,Urbanized with informal settlements
1808,2805802,0,Semi-urbanized
1809,2805901,3,Urbanized with informal settlements
1810,2806008,0,Semi-urbanized
1811,2806107,3,Urbanized with informal settlements
1812,2806206,0,Semi-urbanized
1813,2806305,0,Semi-urbanized
1814,2806404,0,Semi-urbanized
1815,2806503,0,Semi-urbanized
1816,2806602,0,Semi-urbanized
1817,2806701,3,Urbanized with informal settlements
1818,2806800,0,Semi-urbanized
1819,2806909,0,Semi-urbanized
1820,2807006,0,Semi-urbanized
1821,2807105,0,Semi-urbanized
1822,2807204,0,Semi-urbanized
1823,2807303,0,Semi-urbanized
1824,2807402,0,Semi-urbanized
1825,2807501,0,Semi-urbanized
1826,2807600,0,Semi-urbanized
1827,2900108,0,Semi-urbanized
1828,2900207,0,Semi-urbanized
1829,2900306,0,Semi-urbanized
1830,2900355,0,Semi-urbanized
1831,2900405,0,Semi-urbanized
1832,2900504,0,Semi-urbanized
1833,2900603,0,Semi-urbanized
1834,2900702,3,Urbanized with informal settlements
1835,2900801,0,Semi-urbanized
1836,2900900,0,Semi-urbanized
1837,2901007,0,Semi-urbanized
1838,2901106,1,Urbanized
1839,2901155,0,Semi-urbanized
1840,2901205,0,Semi-urbanized
1841,2901304,0,Semi-urbanized
1842,2901353,0,Semi-urbanized
1843,2901403,0,Semi-urbanized
1844,2901502,0,Semi-urbanized
1845,2901601,0,Semi-urbanized
1846,2901700,0,Semi-urbanized
1847,2901809,0,Semi-urbanized
1848,2901908,0,Semi-urbanized
1849,2901957,0,Semi-urbanized
1850,2902005,0,Semi-urbanized
1851,2902054,0,Semi-urbanized
1852,2902104,0,Semi-urbanized
1853,2902203,0,Semi-urbanized
1854,2902252,0,Semi-urbanized
1855,2902302,0,Semi-urbanized
1856,2902401,0,Semi-urbanized
1857,2902500,0,Semi-urbanized
1858,2902609,0,Semi-urbanized
1859,2902658,0,Semi-urbanized
1860,2902708,0,Semi-urbanized
1861,2902807,0,Semi-urbanized
1862,2902906,0,Semi-urbanized
1863,2903003,0,Semi-urbanized
1864,2903102,0,Semi-urbanized
1865,2903201,3,Urbanized with informal settlements
1866,2903235,0,Semi-urbanized
1867,2903276,0,Semi-urbanized
1868,2903300,0,Semi-urbanized
1869,2903409,0,Semi-urbanized
1870,2903508,0,Semi-urbanized
1871,2903607,0,Semi-urbanized
1872,2903706,0,Semi-urbanized
1873,2903805,0,Semi-urbanized
1874,2903904,0,Semi-urbanized
1875,2903953,0,Semi-urbanized
1876,2904001,0,Semi-urbanized
1877,2904050,0,Semi-urbanized
1878,2904100,0,Semi-urbanized
1879,2904209,0,Semi-urbanized
1880,2904308,0,Semi-urbanized
1881,2904407,0,Semi-urbanized
1882,2904506,0,Semi-urbanized
1883,2904605,1,Urbanized
1884,2904704,0,Semi-urbanized
1885,2904753,0,Semi-urbanized
1886,2904803,0,Semi-urbanized
1887,2904852,0,Semi-urbanized
1888,2904902,0,Semi-urbanized
1889,2905008,0,Semi-urbanized
1890,2905107,0,Semi-urbanized
1891,2905156,0,Semi-urbanized
1892,2905206,0,Semi-urbanized
1893,2905305,0,Semi-urbanized
1894,2905404,0,Semi-urbanized
1895,2905503,0,Semi-urbanized
1896,2905602,0,Semi-urbanized
1897,2905701,3,Urbanized with informal settlements
1898,2905800,0,Semi-urbanized
1899,2905909,0,Semi-urbanized
1900,2906006,0,Semi-urbanized
1901,2906105,0,Semi-urbanized
1902,2906204,0,Semi-urbanized
1903,2906303,0,Semi-urbanized
1904,2906402,0,Semi-urbanized
1905,2906501,3,Urbanized with informal settlements
1906,2906600,0,Semi-urbanized
1907,2906709,0,Semi-urbanized
1908,2906808,0,Semi-urbanized
1909,2906824,0,Semi-urbanized
1910,2906857,0,Semi-urbanized
1911,2906873,0,Semi-urbanized
1912,2906899,0,Semi-urbanized
1913,2906907,0,Semi-urbanized
1914,2907004,0,Semi-urbanized
1915,2907103,0,Semi-urbanized
1916,2907202,0,Semi-urbanized
1917,2907301,0,Semi-urbanized
1918,2907400,0,Semi-urbanized
1919,2907509,1,Urbanized
1920,2907558,0,Semi-urbanized
1921,2907608,0,Semi-urbanized
1922,2907707,0,Semi-urbanized
1923,2907806,0,Semi-urbanized
1924,2907905,0,Semi-urbanized
1925,2908002,0,Semi-urbanized
1926,2908101,0,Semi-urbanized
1927,2908200,0,Semi-urbanized
1928,2908309,0,Semi-urbanized
1929,2908408,0,Semi-urbanized
1930,2908507,1,Urbanized
1931,2908606,0,Semi-urbanized
1932,2908705,0,Semi-urbanized
1933,2908804,0,Semi-urbanized
1934,2908903,0,Semi-urbanized
1935,2909000,0,Semi-urbanized
1936,2909109,0,Semi-urbanized
1937,2909208,0,Semi-urbanized
1938,2909307,0,Semi-urbanized
1939,2909406,0,Semi-urbanized
1940,2909505,0,Semi-urbanized
1941,2909604,0,Semi-urbanized
1942,2909703,0,Semi-urbanized
1943,2909802,3,Urbanized with informal settlements
1944,2909901,0,Semi-urbanized
1945,2910008,0,Semi-urbanized
1946,2910057,3,Urbanized with informal settlements
1947,2910107,0,Semi-urbanized
1948,2910206,0,Semi-urbanized
1949,2910305,0,Semi-urbanized
1950,2910404,0,Semi-urbanized
1951,2910503,0,Semi-urbanized
1952,2910602,0,Semi-urbanized
1953,2910701,0,Semi-urbanized
1954,2910727,3,Urbanized with informal settlements
1955,2910750,0,Semi-urbanized
1956,2910776,0,Semi-urbanized
1957,2910800,3,Urbanized with informal settlements
1958,2910859,0,Semi-urbanized
1959,2910909,0,Semi-urbanized
1960,2911006,0,Semi-urbanized
1961,2911105,0,Semi-urbanized
1962,2911204,0,Semi-urbanized
1963,2911253,0,Semi-urbanized
1964,2911303,0,Semi-urbanized
1965,2911402,0,Semi-urbanized
1966,2911501,0,Semi-urbanized
1967,2911600,0,Semi-urbanized
1968,2911659,0,Semi-urbanized
1969,2911709,1,Urbanized
1970,2911808,0,Semi-urbanized
1971,2911857,0,Semi-urbanized
1972,2911907,0,Semi-urbanized
1973,2912004,2,Rural with high human development
1974,2912103,0,Semi-urbanized
1975,2912202,0,Semi-urbanized
1976,2912301,0,Semi-urbanized
1977,2912400,0,Semi-urbanized
1978,2912509,0,Semi-urbanized
1979,2912608,0,Semi-urbanized
1980,2912707,0,Semi-urbanized
1981,2912806,0,Semi-urbanized
1982,2912905,0,Semi-urbanized
1983,2913002,0,Semi-urbanized
1984,2913101,0,Semi-urbanized
1985,2913200,0,Semi-urbanized
1986,2913309,0,Semi-urbanized
1987,2913408,0,Semi-urbanized
1988,2913457,0,Semi-urbanized
1989,2913507,0,Semi-urbanized
1990,2913606,3,Urbanized with informal settlements
1991,2913705,0,Semi-urbanized
1992,2913804,0,Semi-urbanized
1993,2913903,0,Semi-urbanized
1994,2914000,0,Semi-urbanized
1995,2914109,0,Semi-urbanized
1996,2914208,0,Semi-urbanized
1997,2914307,0,Semi-urbanized
1998,2914406,0,Semi-urbanized
1999,2914505,0,Semi-urbanized
2000,2914604,3,Urbanized with informal settlements
2001,2914653,0,Semi-urbanized
2002,2914703,0,Semi-urbanized
2003,2914802,3,Urbanized with informal settlements
2004,2914901,0,Semi-urbanized
2005,2915007,0,Semi-urbanized
2006,2915106,0,Semi-urbanized
2007,2915205,0,Semi-urbanized
2008,2915304,0,Semi-urbanized
2009,2915353,0,Semi-urbanized
2010,2915403,0,Semi-urbanized
2011,2915502,0,Semi-urbanized
2012,2915601,0,Semi-urbanized
2013,2915700,0,Semi-urbanized
2014,2915809,0,Semi-urbanized
2015,2915908,0,Semi-urbanized
2016,2916005,0,Semi-urbanized
2017,2916104,3,Urbanized with informal settlements
2018,2916203,0,Semi-urbanized
2019,2916302,0,Semi-urbanized
2020,2916401,1,Urbanized
2021,2916500,0,Semi-urbanized
2022,2916609,0,Semi-urbanized
2023,2916708,0,Semi-urbanized
2024,2916807,0,Semi-urbanized
2025,2916856,0,Semi-urbanized
2026,2916906,0,Semi-urbanized
2027,2917003,0,Semi-urbanized
2028,2917102,0,Semi-urbanized
2029,2917201,0,Semi-urbanized
2030,2917300,0,Semi-urbanized
2031,2917334,0,Semi-urbanized
2032,2917359,0,Semi-urbanized
2033,2917409,0,Semi-urbanized
2034,2917508,0,Semi-urbanized
2035,2917607,0,Semi-urbanized
2036,2917706,0,Semi-urbanized
2037,2917805,0,Semi-urbanized
2038,2917904,0,Semi-urbanized
2039,2918001,3,Urbanized with informal settlements
2040,2918100,0,Semi-urbanized
2041,2918209,0,Semi-urbanized
2042,2918308,0,Semi-urbanized
2043,2918357,0,Semi-urbanized
2044,2918407,3,Urbanized with informal settlements
2045,2918456,0,Semi-urbanized
2046,2918506,0,Semi-urbanized
2047,2918555,0,Semi-urbanized
2048,2918605,0,Semi-urbanized
2049,2918704,0,Semi-urbanized
2050,2918753,0,Semi-urbanized
2051,2918803,0,Semi-urbanized
2052,2918902,0,Semi-urbanized
2053,2919009,0,Semi-urbanized
2054,2919058,0,Semi-urbanized
2055,2919108,0,Semi-urbanized
2056,2919157,0,Semi-urbanized
2057,2919207,3,Urbanized with informal settlements
2058,2919306,0,Semi-urbanized
2059,2919405,0,Semi-urbanized
2060,2919504,0,Semi-urbanized
2061,2919553,3,Urbanized with informal settlements
2062,2919603,0,Semi-urbanized
2063,2919702,0,Semi-urbanized
2064,2919801,0,Semi-urbanized
2065,2919900,0,Semi-urbanized
2066,2919926,3,Urbanized with informal settlements
2067,2919959,0,Semi-urbanized
2068,2920007,0,Semi-urbanized
2069,2920106,0,Semi-urbanized
2070,2920205,0,Semi-urbanized
2071,2920304,0,Semi-urbanized
2072,2920403,0,Semi-urbanized
2073,2920452,0,Semi-urbanized
2074,2920502,0,Semi-urbanized
2075,2920601,0,Semi-urbanized
2076,2920700,0,Semi-urbanized
2077,2920809,0,Semi-urbanized
2078,2920908,0,Semi-urbanized
2079,2921005,3,Urbanized with informal settlements
2080,2921054,0,Semi-urbanized
2081,2921104,0,Semi-urbanized
2082,2921203,0,Semi-urbanized
2083,2921302,0,Semi-urbanized
2084,2921401,0,Semi-urbanized
2085,2921450,0,Semi-urbanized
2086,2921500,0,Semi-urbanized
2087,2921609,0,Semi-urbanized
2088,2921708,0,Semi-urbanized
2089,2921807,0,Semi-urbanized
2090,2921906,0,Semi-urbanized
2091,2922003,0,Semi-urbanized
2092,2922052,0,Semi-urbanized
2093,2922102,0,Semi-urbanized
2094,2922201,0,Semi-urbanized
2095,2922250,0,Semi-urbanized
2096,2922300,0,Semi-urbanized
2097,2922409,0,Semi-urbanized
2098,2922508,0,Semi-urbanized
2099,2922607,0,Semi-urbanized
2100,2922656,0,Semi-urbanized
2101,2922706,0,Semi-urbanized
2102,2922730,0,Semi-urbanized
2103,2922755,0,Semi-urbanized
2104,2922805,0,Semi-urbanized
2105,2922854,0,Semi-urbanized
2106,2922904,0,Semi-urbanized
2107,2923001,0,Semi-urbanized
2108,2923035,0,Semi-urbanized
2109,2923050,0,Semi-urbanized
2110,2923100,0,Semi-urbanized
2111,2923209,0,Semi-urbanized
2112,2923308,0,Semi-urbanized
2113,2923357,0,Semi-urbanized
2114,2923407,0,Semi-urbanized
2115,2923506,0,Semi-urbanized
2116,2923605,0,Semi-urbanized
2117,2923704,0,Semi-urbanized
2118,2923803,0,Semi-urbanized
2119,2923902,0,Semi-urbanized
